NP_NP_EX ->  there # 1.0000000000
SBAR ->  WHNP_WDT S_VP # 0.9090909091
SBAR ->  WHNP SQ # 0.0454545455
SBAR ->  WHNP_WDT S # 0.0454545455
NP* ->  NP VP # 0.0022421525
NP* ->  NP_NNS PP # 0.0986547085
NP* ->  DT NN # 0.0426008969
NP* ->  CD RB # 0.0089686099
NP* ->  NP_NNS VP # 0.0089686099
NP* ->  NP* NNP # 0.0336322870
NP* ->  CD NNS # 0.0022421525
NP* ->  DT JJ # 0.0381165919
NP* ->  NP NP_NN # 0.0044843049
NP* ->  NP CC # 0.0336322870
NP* ->  CD NN # 0.0044843049
NP* ->  JJS JJ # 0.0089686099
NP* ->  NN NNP # 0.0134529148
NP* ->  QP NNS # 0.0022421525
NP* ->  NP NP # 0.0044843049
NP* ->  DT ADJP # 0.0022421525
NP* ->  JJS NN # 0.0044843049
NP* ->  NP_NN CC # 0.0022421525
NP* ->  NP PP # 0.1816143498
NP* ->  NP NN # 0.0022421525
NP* ->  NP_NNP CC # 0.0134529148
NP* ->  NN NN # 0.0179372197
NP* ->  NP* JJ # 0.0044843049
NP* ->  NNP CC # 0.0044843049
NP* ->  NP* X_JJ # 0.0022421525
NP* ->  NP* NP # 0.0022421525
NP* ->  JJ NNP # 0.0022421525
NP* ->  NP* SYM # 0.0089686099
NP* ->  NNP CD # 0.0044843049
NP* ->  DT CD # 0.0067264574
NP* ->  NP* PP # 0.1233183857
NP* ->  NNP NNP # 0.0627802691
NP* ->  NP* NN # 0.0448430493
NP* ->  NP* X_TO # 0.0022421525
NP* ->  CC NNP # 0.0022421525
NP* ->  NP_NN PP # 0.0179372197
NP* ->  NN CD # 0.0044843049
NP* ->  DT NNP # 0.0156950673
NP* ->  JJ JJ # 0.0022421525
NP* ->  NP* CC # 0.0022421525
NP* ->  NP_NNP PP # 0.0022421525
NP* ->  CD CD # 0.0156950673
NP* ->  CD CC # 0.0044843049
NP* ->  NP* CD # 0.0717488789
NP* ->  DT JJS # 0.0246636771
NP* ->  NP* ADVP_RB # 0.0044843049
NP* ->  JJ NN # 0.0179372197
NP* ->  RB DT # 0.0022421525
NP* ->  NP SBAR # 0.0022421525
NP* ->  PDT DT # 0.0067264574
NP* ->  NP* VP # 0.0022421525
ADVP_RB ->  only # 0.1250000000
ADVP_RB ->  last # 0.0625000000
ADVP_RB ->  now # 0.1250000000
ADVP_RB ->  daily # 0.2500000000
ADVP_RB ->  <unk> # 0.2500000000
ADVP_RB ->  here # 0.1250000000
ADVP_RB ->  first # 0.0625000000
SQ* ->  NP_PRP VP_VB # 0.0147058824
SQ* ->  NP_NP_EX SQ* # 0.2500000000
SQ* ->  NP SQ* # 0.0294117647
SQ* ->  PP PP # 0.2500000000
SQ* ->  NP_NP_EX NP # 0.0294117647
SQ* ->  NP VP_VB # 0.0588235294
SQ* ->  MD SQ* # 0.0147058824
SQ* ->  NP_PRP VP # 0.0882352941
SQ* ->  NP_NN VP # 0.0147058824
SQ* ->  NP PP # 0.0147058824
SQ* ->  NP NP # 0.0294117647
SQ* ->  NP_DT NP # 0.0147058824
SQ* ->  VBZ SQ* # 0.0147058824
SQ* ->  PP SQ* # 0.0294117647
SQ* ->  NP ADJP_JJ # 0.0147058824
SQ* ->  NP VP # 0.1323529412
WDT ->  <unk> # 0.0120481928
WDT ->  which # 0.0602409639
WDT ->  what # 0.9277108434
FRAG_NP_NN ->  <unk> # 1.0000000000
JJ ->  first # 0.1818181818
JJ ->  <unk> # 0.1969696970
JJ ->  other # 0.0303030303
JJ ->  last # 0.0454545455
JJ ->  many # 0.0454545455
JJ ->  round # 0.2575757576
JJ ->  next # 0.0909090909
JJ ->  nonstop # 0.1515151515
WP ->  what # 1.0000000000
X_JJ ->  nonstop # 1.0000000000
PUNC ->  . # 0.7377398721
PUNC ->  ? # 0.2622601279
RB ->  much # 0.0943396226
RB ->  <unk> # 0.0943396226
RB ->  as # 0.0188679245
RB ->  p.m # 0.4150943396
RB ->  o'clock # 0.0943396226
RB ->  around # 0.0566037736
RB ->  a.m # 0.1509433962
RB ->  apart # 0.0754716981
NNS ->  <unk> # 0.0239234450
NNS ->  fares # 0.0717703349
NNS ->  hours # 0.0191387560
NNS ->  ones # 0.0095693780
NNS ->  flights # 0.7464114833
NNS ->  stopovers # 0.0095693780
NNS ->  codes # 0.0095693780
NNS ->  numbers # 0.0143540670
NNS ->  dollars # 0.0191387560
NNS ->  minutes # 0.0239234450
NNS ->  airlines # 0.0143540670
NNS ->  meals # 0.0191387560
NNS ->  stops # 0.0191387560
NNP ->  guardia # 0.0073529412
NNP ->  kansas # 0.0343137255
NNP ->  las # 0.0588235294
NNP ->  new # 0.0612745098
NNP ->  san # 0.0735294118
NNP ->  southwest # 0.0098039216
NNP ->  newark # 0.0024509804
NNP ->  orlando # 0.0024509804
NNP ->  york # 0.0514705882
NNP ->  la # 0.0073529412
NNP ->  sunday # 0.0049019608
NNP ->  friday # 0.0073529412
NNP ->  airlines # 0.0416666667
NNP ->  louis # 0.0073529412
NNP ->  cleveland # 0.0049019608
NNP ->  milwaukee # 0.0024509804
NNP ->  tuesday # 0.0024509804
NNP ->  lake # 0.0147058824
NNP ->  saint # 0.0196078431
NNP ->  jose # 0.0171568627
NNP ->  american # 0.0245098039
NNP ->  international # 0.0049019608
NNP ->  thursday # 0.0147058824
NNP ->  dulles # 0.0024509804
NNP ->  city # 0.0710784314
NNP ->  ohio # 0.0049019608
NNP ->  f # 0.0147058824
NNP ->  paul # 0.0049019608
NNP ->  angeles # 0.0269607843
NNP ->  francisco # 0.0367647059
NNP ->  beach # 0.0073529412
NNP ->  long # 0.0073529412
NNP ->  p # 0.0024509804
NNP ->  s # 0.0073529412
NNP ->  u # 0.0098039216
NNP ->  t # 0.0098039216
NNP ->  w # 0.0147058824
NNP ->  air # 0.0073529412
NNP ->  county # 0.0098039216
NNP ->  k # 0.0098039216
NNP ->  vegas # 0.0588235294
NNP ->  monday # 0.0122549020
NNP ->  n # 0.0049019608
NNP ->  a # 0.0245098039
NNP ->  c # 0.0147058824
NNP ->  united # 0.0147058824
NNP ->  d # 0.0122549020
NNP ->  <unk> # 0.0098039216
NNP ->  salt # 0.0147058824
NNP ->  petersburg # 0.0073529412
NNP ->  tampa # 0.0024509804
NNP ->  los # 0.0269607843
NNP ->  july # 0.0049019608
NNP ->  ontario # 0.0024509804
NNP ->  wednesday # 0.0098039216
NNP ->  westchester # 0.0098039216
NNP ->  j # 0.0098039216
NNP ->  jersey # 0.0098039216
NNP ->  delta # 0.0024509804
NNP ->  diego # 0.0196078431
NNP ->  cincinnati # 0.0024509804
NNP ->  saturday # 0.0024509804
FRAG ->  NP_NNP PP # 0.1724137931
FRAG ->  X NP_NNP # 0.0344827586
FRAG ->  ADVP_RB NP_NNP # 0.0344827586
FRAG ->  FRAG* ADVP_RB # 0.0344827586
FRAG ->  WHNP PP # 0.0344827586
FRAG ->  FRAG* VP # 0.0344827586
FRAG ->  NP NP # 0.0689655172
FRAG ->  PP PP # 0.1379310345
FRAG ->  X NP # 0.0689655172
FRAG ->  FRAG* NP # 0.0689655172
FRAG ->  FRAG* PP # 0.1724137931
FRAG ->  PP VP # 0.0344827586
FRAG ->  NP INTJ_UH # 0.0344827586
FRAG ->  X PP # 0.0689655172
FRAG_WHNP ->  WHNP PP # 0.0303030303
FRAG_WHNP ->  WHNP* PP # 0.9696969697
ADVP_RBS ->  latest # 1.0000000000
WRB ->  how # 1.0000000000
X ->  VBZ NP_DT # 0.1666666667
X ->  WRB IN # 0.1666666667
X ->  WP IN # 0.6666666667
S_VP_VBG ->  arriving # 1.0000000000
NP_NNP ->  saturday # 0.0155210643
NP_NNP ->  columbus # 0.0221729490
NP_NNP ->  boston # 0.0133037694
NP_NNP ->  charlotte # 0.0199556541
NP_NNP ->  denver # 0.0332594235
NP_NNP ->  montreal # 0.0177383592
NP_NNP ->  thursday # 0.0088691796
NP_NNP ->  burbank # 0.0133037694
NP_NNP ->  milwaukee # 0.0421286031
NP_NNP ->  sunday # 0.0177383592
NP_NNP ->  nashville # 0.0376940133
NP_NNP ->  westchester # 0.0022172949
NP_NNP ->  washington # 0.0177383592
NP_NNP ->  pittsburgh # 0.0266075388
NP_NNP ->  detroit # 0.0133037694
NP_NNP ->  orlando # 0.0310421286
NP_NNP ->  toronto # 0.0221729490
NP_NNP ->  minneapolis # 0.0221729490
NP_NNP ->  delta # 0.0022172949
NP_NNP ->  friday # 0.0199556541
NP_NNP ->  atlanta # 0.0133037694
NP_NNP ->  miami # 0.0332594235
NP_NNP ->  chicago # 0.0199556541
NP_NNP ->  oakland # 0.0155210643
NP_NNP ->  philadelphia # 0.0177383592
NP_NNP ->  monday # 0.0110864745
NP_NNP ->  tampa # 0.0310421286
NP_NNP ->  newark # 0.0620842572
NP_NNP ->  phoenix # 0.0421286031
NP_NNP ->  tacoma # 0.0221729490
NP_NNP ->  <unk> # 0.0155210643
NP_NNP ->  wednesday # 0.0243902439
NP_NNP ->  baltimore # 0.0421286031
NP_NNP ->  july # 0.0066518847
NP_NNP ->  ontario # 0.0133037694
NP_NNP ->  tuesday # 0.0088691796
NP_NNP ->  memphis # 0.0310421286
NP_NNP ->  houston # 0.0354767184
NP_NNP ->  dallas # 0.0310421286
NP_NNP ->  cincinnati # 0.0199556541
NP_NNP ->  cleveland # 0.0598669623
NP_NNP ->  seattle # 0.0133037694
NP_NNP ->  american # 0.0044345898
NP_NNP ->  indianapolis # 0.0243902439
NP_NNP ->  dulles # 0.0022172949
NP_NNS ->  weekdays # 0.0434782609
NP_NNS ->  fares # 0.0434782609
